net,wires
"(6,8)","[(15,11,0),(np.int64(16),np.int64(11),np.int64(0)),(np.int64(16),np.int64(10),np.int64(0)),(np.int64(16),np.int64(9),np.int64(0)),(np.int64(16),np.int64(8),np.int64(0)),(np.int64(16),np.int64(8),np.int64(1)),(np.int64(16),np.int64(7),np.int64(1)),(np.int64(16),np.int64(6),np.int64(1)),(np.int64(16),np.int64(5),np.int64(1)),(np.int64(16),np.int64(4),np.int64(1)),(np.int64(16),np.int64(3),np.int64(1)),(np.int64(15),np.int64(3),np.int64(1)),(np.int64(14),np.int64(3),np.int64(1)),(np.int64(14),np.int64(2),np.int64(1)),(np.int64(13),np.int64(2),np.int64(1)),(np.int64(12),np.int64(2),np.int64(1)),(np.int64(11),np.int64(2),np.int64(1)),(np.int64(11),np.int64(1),np.int64(1)),(np.int64(11),np.int64(0),np.int64(1)),(np.int64(10),np.int64(0),np.int64(1)),(np.int64(9),np.int64(0),np.int64(1)),(np.int64(8),np.int64(0),np.int64(1)),(np.int64(7),np.int64(0),np.int64(1)),(np.int64(6),np.int64(0),np.int64(1)),(np.int64(5),np.int64(0),np.int64(1)),(np.int64(4),np.int64(0),np.int64(1)),(np.int64(3),np.int64(0),np.int64(1)),(np.int64(2),np.int64(0),np.int64(1)),(np.int64(1),np.int64(0),np.int64(1)),(np.int64(1),np.int64(0),np.int64(0)),(1,1,0)]"
"(16,22)","[(11,7,0),(np.int64(11),np.int64(7),np.int64(1)),(np.int64(12),np.int64(7),np.int64(1)),(np.int64(12),np.int64(7),np.int64(2)),(np.int64(12),np.int64(6),np.int64(2)),(np.int64(12),np.int64(5),np.int64(2)),(np.int64(12),np.int64(4),np.int64(2)),(np.int64(12),np.int64(3),np.int64(2)),(np.int64(12),np.int64(2),np.int64(2)),(np.int64(12),np.int64(1),np.int64(2)),(np.int64(12),np.int64(1),np.int64(1)),(12,1,0)]"
"(14,19)","[(15,4,0),(np.int64(15),np.int64(5),np.int64(0)),(np.int64(14),np.int64(5),np.int64(0)),(np.int64(14),np.int64(6),np.int64(0)),(np.int64(14),np.int64(6),np.int64(1)),(np.int64(14),np.int64(7),np.int64(1)),(np.int64(14),np.int64(8),np.int64(1)),(np.int64(14),np.int64(8),np.int64(2)),(np.int64(14),np.int64(9),np.int64(2)),(np.int64(14),np.int64(10),np.int64(2)),(np.int64(13),np.int64(10),np.int64(2)),(np.int64(13),np.int64(11),np.int64(2)),(np.int64(12),np.int64(11),np.int64(2)),(np.int64(11),np.int64(11),np.int64(2)),(np.int64(10),np.int64(11),np.int64(2)),(np.int64(10),np.int64(11),np.int64(1)),(10,11,0)]"
"(4,6)","[(4,7,0),(np.int64(5),np.int64(7),np.int64(0)),(np.int64(6),np.int64(7),np.int64(0)),(np.int64(7),np.int64(7),np.int64(0)),(np.int64(8),np.int64(7),np.int64(0)),(np.int64(9),np.int64(7),np.int64(0)),(np.int64(10),np.int64(7),np.int64(0)),(np.int64(10),np.int64(8),np.int64(0)),(np.int64(10),np.int64(9),np.int64(0)),(np.int64(10),np.int64(9),np.int64(1)),(np.int64(11),np.int64(9),np.int64(1)),(np.int64(12),np.int64(9),np.int64(1)),(12,9,0)]"
"(11,5)","[(2,4,0),(np.int64(2),np.int64(3),np.int64(0)),(2,2,0)]"
"(2,1)","[(15,4,0),(np.int64(14),np.int64(4),np.int64(0)),(np.int64(14),np.int64(4),np.int64(1)),(np.int64(14),np.int64(4),np.int64(2)),(np.int64(13),np.int64(4),np.int64(2)),(np.int64(13),np.int64(5),np.int64(2)),(np.int64(13),np.int64(6),np.int64(2)),(np.int64(13),np.int64(7),np.int64(2)),(np.int64(13),np.int64(8),np.int64(2)),(np.int64(12),np.int64(8),np.int64(2)),(np.int64(12),np.int64(8),np.int64(3)),(np.int64(12),np.int64(9),np.int64(3)),(np.int64(12),np.int64(10),np.int64(3)),(np.int64(12),np.int64(10),np.int64(2)),(np.int64(12),np.int64(10),np.int64(1)),(12,10,0)]"
"(8,14)","[(15,11,0),(np.int64(14),np.int64(11),np.int64(0)),(np.int64(13),np.int64(11),np.int64(0)),(np.int64(13),np.int64(12),np.int64(0)),(np.int64(12),np.int64(12),np.int64(0)),(np.int64(11),np.int64(12),np.int64(0)),(np.int64(10),np.int64(12),np.int64(0)),(np.int64(9),np.int64(12),np.int64(0)),(np.int64(8),np.int64(12),np.int64(0)),(np.int64(8),np.int64(12),np.int64(1)),(np.int64(8),np.int64(11),np.int64(1)),(np.int64(7),np.int64(11),np.int64(1)),(np.int64(6),np.int64(11),np.int64(1)),(np.int64(5),np.int64(11),np.int64(1)),(np.int64(4),np.int64(11),np.int64(1)),(np.int64(3),np.int64(11),np.int64(1)),(np.int64(3),np.int64(10),np.int64(1)),(3,10,0)]"
"(23,17)","[(12,9,0),(np.int64(13),np.int64(9),np.int64(0)),(np.int64(13),np.int64(8),np.int64(0)),(np.int64(13),np.int64(7),np.int64(0)),(np.int64(13),np.int64(6),np.int64(0)),(13,5,0)]"
"(23,14)","[(1,1,0),(np.int64(2),np.int64(1),np.int64(0)),(np.int64(3),np.int64(1),np.int64(0)),(np.int64(4),np.int64(1),np.int64(0)),(np.int64(5),np.int64(1),np.int64(0)),(np.int64(5),np.int64(2),np.int64(0)),(np.int64(5),np.int64(2),np.int64(1)),(np.int64(5),np.int64(3),np.int64(1)),(np.int64(5),np.int64(3),np.int64(2)),(np.int64(5),np.int64(4),np.int64(2)),(np.int64(5),np.int64(5),np.int64(2)),(np.int64(5),np.int64(6),np.int64(2)),(np.int64(6),np.int64(6),np.int64(2)),(np.int64(7),np.int64(6),np.int64(2)),(np.int64(7),np.int64(7),np.int64(2)),(np.int64(7),np.int64(8),np.int64(2)),(np.int64(7),np.int64(8),np.int64(1)),(np.int64(7),np.int64(8),np.int64(0)),(8,8,0)]"
"(16,18)","[(2,4,0),(np.int64(3),np.int64(4),np.int64(0)),(np.int64(3),np.int64(3),np.int64(0)),(np.int64(4),np.int64(3),np.int64(0)),(np.int64(5),np.int64(3),np.int64(0)),(np.int64(6),np.int64(3),np.int64(0)),(np.int64(7),np.int64(3),np.int64(0)),(np.int64(8),np.int64(3),np.int64(0)),(np.int64(8),np.int64(4),np.int64(0)),(9,4,0)]"
